49019.00,N/A,Development,0xF80e86B480D8639132eA255e14B8e255887cb8F6 
11173.08,N/A,Strategic Round,0x27547deF81EC5d07A13A9F6a38b3f84765A4eEa4
2243.29,N/A,Strategic Round,0x3FeAa7D2cE86F63645EB8a2e46a292476cd8A430
282.05,N/A,Strategic Round,0x5Df66b16Ac7A743D84FCd92DB79F7603682a2809
564.10,N/A,Strategic Round,0x1CF8323B93d1Ea0Fa67DD91319164d87594EdB1e
641.03,N/A,Strategic Round,0xCB6A3ed5d899103C44C28Bafc888fb90EE8B8143 
1070.51,N/A,Strategic Round,0x9e67D018488aD636B538e4158E9e7577F2ECac12 
834.62,N/A,Strategic Round,0xF2495733B0cF9Fa7D7102202cc3B52c0Dcc9C631 
269.23,N/A,Strategic Round,0x0a9aE18153879CE1d399C881E8C66C14Fd5069d8 
21538.46,N/A,Strategic Round,0x27da5FA6520C04Ee3566E9d749996A5C3Ad326e3 
4358.97,N/A,Strategic Round,0x81e2bBb2254Fb03634FEB15ceD2364bf8B62D8f1 
5128.21,N/A,Strategic Round,0x22EAC1355400145592631A355ab0Eb9d8da5AC3c 
3205.13,N/A,Strategic Round,0x3B769506d0fC60D13bcD6BF52b7549666F7A8504
1871.79,N/A,Strategic Round,0x840f461D7826A6EaC3ba0Ff21c1bBEf4F775aa75
1602.56,N/A,Strategic Round,0xEbdBBBc46B7D2c123B59F8ccb39C161841bfe25c
2692.31,N/A,Strategic Round,0xE9a839173E22319Fd871C2735ee50B9fdC5e3722
4294.87,N/A,Strategic Round,0x74a6351BE4A02e8dEB7a235FfEBE36001Bc2D2AB 
544.87,N/A,Strategic Round,0x3d8ea16d436d3ca0594810c8861fd5e4a23f4791
6410.26,N/A,Strategic Round,0x966475f9256e3f9aF84426c4852E70eAaE45ce21
57.29,N/A,Strategic Round,0x44647f66c173f6d0d2fda318a9c5774929563ec2
2124.70,N/A,Strategic Round,0x1afD361A9447080FbD3E13C4DAd3b00DD045395A
10961.54,N/A,Strategic Round,0xd14243377941DD2409827ca7490ACFcdb33b76E5
49.09,N/A,Strategic Round,0x1aF650187cceC73bDaD62860B6DD6eDE9d933Fd8
641.03,N/A,Strategic Round,0x7d4c4d5380ca2f9c7a091bb622b80613da7eae8c
1025.64,N/A,Strategic Round,0xe514d7b9f5fc4cd3ce9ed726d07013fe043b22de
1096.15,N/A,Strategic Round,0x88ede20d971E7ce2d4Fd4f9C3744d28c028855d3
1189.15,N/A,Strategic Round,0x90FEc6E1650acc4d3591282708d8f1b833745bAf
1282.05,N/A,Strategic Round,0xaA75B8c9e01Ac2E9FC041A39d36a6536540B2072