661.46,0x4CadA2569cf5bB37AA61A47bf750cb9D2c94685a ,No Vesting,,,
133.42,0x93a7464E3fec0E75c23fF855598c9543ad0A8548 ,No Vesting,,,
17.45,0x9fb96c6556562E660811c99da2351d99DbFDB188,No Vesting,,,
282.05,0x5Df66b16Ac7A743D84FCd92DB79F7603682a2809,No Vesting,,,
564.10,0x1CF8323B93d1Ea0Fa67DD91319164d87594EdB1e,No Vesting,,,
641.03,0xCB6A3ed5d899103C44C28Bafc888fb90EE8B8143,No Vesting,,,
"1,070.51",0x9e67D018488aD636B538e4158E9e7577F2ECac12,No Vesting,,,
834.62,0xF2495733B0cF9Fa7D7102202cc3B52c0Dcc9C631,No Vesting,,,
269.23,0x0a9aE18153879CE1d399C881E8C66C14Fd5069d8,No Vesting,,,
"21,538.46",0x27da5FA6520C04Ee3566E9d749996A5C3Ad326e3,No Vesting,,,
"4,358.97",0x81e2bBb2254Fb03634FEB15ceD2364bf8B62D8f1,No Vesting,,,
"5,128.21",0xC6dDF90790b433743bd050c1D1d45f673A3413F4,No Vesting,,,
"3,205.13",0x3B769506d0fC60D13bcD6BF52b7549666F7A8504,No Vesting,,,
"1,871.79",0x840f461D7826A6EaC3ba0Ff21c1bBEf4F775aa75,No Vesting,,,
"1,602.56",0xEbdBBBc46B7D2c123B59F8ccb39C161841bfe25c,No Vesting,,,
"2,692.31",0xE9a839173E22319Fd871C2735ee50B9fdC5e3722,No Vesting,,,
"4,294.87",0x74a6351BE4A02e8dEB7a235FfEBE36001Bc2D2AB,No Vesting,,,
544.87,0x3d8ea16d436d3ca0594810c8861fd5e4a23f4791,No Vesting,,,
"6,410.26",0x966475f9256e3f9aF84426c4852E70eAaE45ce21,No Vesting,,,
57.29,0x44647f66c173f6d0d2fda318a9c5774929563ec2,No Vesting,,,